39,191,301,494
37,139,225,296
13,45,51,317
114,282,316,370
10,126,267,437
140,341,348,429
70,274,350,468
98,434,459,484
18,315,324,422
84,245,334,349
14,75,132,287
49,224,235,294
55,272,318,377
8,194,339,471
251,323,383,397
56,114,238,470
64,344,364,374
18,178,437,440
85,215,290,438
203,305,421,423
170,218,227,278
194,274,319,474
133,225,248,309
105,146,374,496
217,318,459,491
180,233,371,382
54,69,140,149
434,464,465,475
21,88,117,278
63,169,233,401
52,71,75,215
139,425,435,444
103,295,297,335
116,254,353,376
139,144,316,397
80,104,119,133
129,318,377,482
96,193,276,290
119,150,347,431
85,194,410,417
6,25,319,468
20,223,367,453
291,394,406,436
134,143,154,466
225,296,345,450
18,213,342,389
161,173,255,336
231,415,437,469
155,297,359,406
152,277,295,320
293,334,355,413
52,69,381,407
314,352,371,382
17,298,397,474
196,200,219,495
102,148,228,284
67,142,155,492
137,217,355,456
211,288,356,493
61,76,243,369
1,167,351,411
155,323,411,482
149,151,346,374
190,355,392,448
19,25,106,249
50,136,160,414
11,113,272,280
273,356,371,384
63,161,349,423
206,355,370,475
13,190,363,436
101,145,178,285
134,314,423,450
100,105,301,349
33,61,122,399
131,240,359,487
31,293,409,433
6,109,119,284
37,186,234,380
72,189,381,459
86,187,309,373
198,215,377,390
76,115,233,337
18,352,360,474
50,82,106,485
78,297,301,378
124,270,309,364
73,259,285,391
7,10,265,380
333,350,417,431
193,277,348,360
20,123,413,481
177,222,245,413
115,313,379,418
70,240,245,420
193,196,271,343
49,154,354,359
96,162,200,276
217,262,271,307
18,47,88,440
43,168,249,435
285,359,462,475
41,146,151,381
194,198,241,288
197,222,369,476
41,314,319,393
99,339,441,471
151,161,247,315
132,255,412,438
51,202,204,474
6,191,321,403
4,273,305,414
178,306,412,431
57,138,165,184
10,99,137,339
33,64,197,262
0,227,308,477
66,190,358,363
183,274,328,416
211,368,397,477
45,57,61,376
95,134,166,372
5,71,173,405
415,487,496,499
3,4,156,440
259,298,306,328
86,122,152,456
21,47,78,456
4,193,228,318
154,355,370,415
276,371,408,484
14,431,434,485
82,246,281,475
51,346,451,459
15,137,184,364
91,233,294,431
12,297,440,470
38,156,246,426
30,88,111,335
155,164,306,458
45,106,128,364
115,164,435,451
3,6,299,310
129,213,275,427
123,126,127,175
15,161,288,409
66,130,148,201
53,141,205,356
128,231,338,425
139,358,385,489
130,286,480,492
133,271,308,382
52,333,380,427
165,225,273,416
82,187,192,489
195,304,464,480
336,391,418,474
15,62,155,480
172,274,284,462
86,172,227,372
10,121,257,352
26,60,368,488
37,179,246,363
16,23,105,470
110,185,202,332
16,28,179,223
91,387,393,486
81,82,92,313
76,140,315,458
37,41,343,485
21,129,162,367
55,61,206,229
297,373,447,470
3,136,227,287
16,62,425,449
55,126,203,310
10,52,65,338
52,302,360,407
77,262,279,489
4,22,118,384
32,287,452,479
13,234,356,452
94,238,257,391
44,181,197,479
110,286,334,489
41,156,253,384
0,88,273,409
194,243,265,381
1,304,370,459
91,319,358,366
241,321,370,475
34,43,72,90
72,137,241,399
348,405,439,468
25,92,269,403
92,115,120,458
136,212,222,338
152,219,315,334
28,300,303,350
50,130,354,419
14,295,298,395
93,303,394,436
32,196,214,260
75,107,227,371
55,239,318,412
55,119,239,485
14,75,204,308
71,116,117,262
105,259,334,436
38,192,247,427
4,133,200,366
33,311,356,398
18,320,352,441
47,54,226,349
30,326,433,471
68,161,211,392
71,147,239,328
108,363,424,462
14,63,296,320
12,266,336,448
138,139,283,477
12,273,356,375
255,411,424,472
84,135,367,399
11,152,287,433
20,136,340,387
10,175,202,452
156,157,182,387
47,162,176,396
263,305,338,404
201,264,370,412
13,18,45,350
19,275,314,401
85,322,475,490
79,221,418,474
43,111,370,471
115,248,272,363
90,193,229,321
193,259,386,396
50,78,193,378
83,403,411,433
331,368,395,494
26,90,153,340
26,238,347,389
209,384,401,430
53,165,206,348
130,305,384,396
185,274,284,360
153,155,280,286
17,207,290,425
59,94,195,324
14,67,224,454
257,297,317,418
89,336,365,408
106,237,276,367
140,144,291,464
41,285,334,469
112,113,255,458
54,322,455,479
99,148,267,397
8,183,332,410
43,54,142,173
120,210,218,449
18,203,260,454
232,378,405,472
49,223,295,371
27,111,112,467
72,104,237,360
117,231,268,487
0,227,246,434
142,386,388,400
77,298,328,495
18,121,198,465
323,389,393,402
18,146,148,431
149,227,412,442
175,435,443,485
79,192,450,453
160,273,337,465
138,166,200,354
118,270,331,338
30,315,346,364
80,96,217,325
2,313,326,424
85,154,193,278
327,355,364,494
