5,10,17,19
2,18,19,23
2,5,27,29
3,13,16,19
16,17,19,21
9,16,22,28
5,14,18,19
0,1,2,13
4,7,10,26
10,23,24,29
12,18,27,28
10,13,18,24
12,22,27,28
5,9,17,23
3,18,19,25
6,7,17,18
2,8,9,24
5,8,11,15
3,20,25,27
1,8,16,27
2,8,12,29
6,7,15,16
7,12,15,21
11,13,18,25
1,5,14,20
1,4,11,23
10,17,18,28
3,5,8,17
0,2,9,17
10,19,23,24
0,4,12,20
3,9,16,20
5,13,17,20
3,24,25,26
3,16,23,27
8,9,11,26
0,10,12,17
1,15,16,28
5,13,27,28
6,13,21,28
3,6,23,24
16,20,23,24
13,14,19,25
3,7,8,9
7,19,21,25
12,14,21,28
1,5,16,26
3,5,21,28
3,5,8,23
4,9,24,28
15,16,19,24
2,18,22,26
1,10,20,23
7,16,21,29
12,13,14,27
6,9,16,18
3,6,20,22
1,6,20,27
12,13,16,18
0,8,13,27
9,11,16,27
11,17,24,27
6,8,13,28
1,4,18,27
1,2,7,22
6,8,13,14
0,15,17,22
14,22,24,25
16,17,24,26
12,16,19,22
1,17,26,29
3,4,14,29
0,18,19,28
2,17,23,28
0,2,6,17
5,17,22,27
6,11,24,28
17,20,21,24
0,9,22,28
9,16,18,20
1,8,26,27
3,10,18,26
6,13,22,23
2,3,5,25
12,14,17,21
1,19,24,29
5,11,16,22
5,16,20,24
1,17,24,28
13,16,17,18
0,1,26,28
14,19,22,29
13,23,24,25
4,6,7,29
11,14,18,28
5,7,10,15
4,5,9,24
0,12,17,29
8,9,16,28
1,5,24,27
