1,5,8,12,14,20,25
0,5,10,15,21,22,24
1,9,10,22,25,26,29
0,6,11,14,21,23,24
6,7,8,11,23,24,28
4,6,7,12,14,17,18
0,7,17,20,21,24,29
2,5,6,14,23,24,26
8,9,19,23,27,28,29
0,11,13,16,19,20,28
0,4,13,14,23,25,29
3,7,9,13,14,22,28
3,7,17,18,23,24,29
1,2,7,12,14,23,28
1,3,10,13,15,25,27
2,8,11,13,18,22,25
0,5,8,20,21,27,29
3,7,9,19,23,26,29
5,11,13,15,16,22,25
3,4,5,9,17,18,19
6,8,11,13,19,21,23
0,2,6,20,21,24,25
0,7,11,17,19,23,24
3,4,10,11,13,16,28
2,6,7,9,14,15,27
3,6,7,9,11,14,20
7,13,16,20,27,28,29
4,9,10,15,16,23,25
4,9,12,18,19,24,25
8,13,16,21,23,25,26
1,6,9,16,17,26,28
0,2,12,14,17,20,23
0,5,8,10,14,22,23
0,5,11,19,21,23,26
8,9,13,14,18,26,29
4,5,13,16,23,24,28
0,6,18,23,25,27,29
5,8,12,15,20,26,29
5,7,9,10,11,15,26
2,4,13,14,19,21,22
0,6,12,14,22,24,28
4,5,10,13,18,27,29
9,10,17,19,22,23,24
3,5,8,9,14,24,28
1,4,10,12,18,25,29
1,8,9,13,17,18,21
5,8,12,15,21,27,28
3,11,13,16,23,25,26
6,12,15,16,18,22,28
2,7,9,13,17,25,27
7,10,14,15,17,23,28
11,13,14,15,20,24,26
1,12,14,15,18,25,28
6,7,9,11,16,17,21
3,7,8,11,17,20,25
0,9,16,18,21,23,26
4,9,18,22,25,26,28
2,4,8,11,23,24,27
3,6,8,15,19,23,29
3,6,12,16,17,19,27
2,10,11,12,13,21,22
7,8,10,13,14,15,23
5,11,14,15,17,22,28
1,8,9,12,14,26,27
0,3,6,7,14,19,21
7,11,13,15,17,21,25
6,7,9,21,25,27,29
3,5,8,13,16,17,25
5,6,13,18,19,22,29
2,14,15,18,25,26,29
0,1,8,11,23,26,29
2,5,12,19,20,23,28
1,6,7,8,11,13,23
4,8,14,17,21,27,29
1,6,12,13,14,22,29
3,6,11,12,19,22,27
1,5,6,8,9,13,20
3,8,10,11,20,26,28
0,7,9,18,21,22,28
0,8,10,13,18,23,28
2,4,15,20,23,24,25
5,7,9,14,18,23,24
0,7,9,12,24,27,28
3,4,7,14,20,24,28
3,9,17,18,22,24,27
2,5,13,15,17,19,29
0,5,14,18,22,24,27
1,2,6,14,18,20,21
3,6,14,17,22,26,28
3,4,5,21,23,26,29
0,4,5,6,23,24,27
12,17,21,24,26,27,28
1,2,10,11,14,15,17
0,3,14,17,20,22,28
1,3,7,8,18,22,27
5,6,10,12,13,15,20
1,3,8,16,20,24,27
13,17,21,22,24,28,29
1,16,18,20,21,23,28
4,6,9,16,18,22,23
