0,10,12,13,15,17,19,27
0,3,5,9,13,18,24,26
9,11,15,16,19,22,23,27
4,7,8,13,15,16,22,24
4,13,14,15,18,22,24,27
1,8,18,19,25,26,27,29
4,9,14,15,16,20,21,23
9,14,16,17,18,19,23,26
8,13,14,15,17,20,22,24
5,11,12,15,20,26,27,28
4,5,7,8,9,14,15,29
0,3,7,14,15,16,17,21
2,3,7,8,15,21,23,27
0,1,4,5,14,19,26,28
0,1,7,9,11,20,23,26
6,7,8,15,18,19,21,26
6,10,12,16,17,21,25,26
0,7,12,15,18,19,20,26
1,12,14,17,18,22,26,29
3,8,16,17,23,24,25,27
1,3,7,8,12,16,21,22
0,1,6,7,9,13,24,28
5,7,10,13,14,17,21,23
5,7,11,14,19,25,26,27
8,15,16,17,18,19,28,29
7,10,12,13,22,23,24,28
2,5,13,14,18,22,24,26
2,9,11,17,18,21,22,26
2,7,11,14,17,19,27,28
0,1,2,4,6,7,9,25
