0,7,10,13,17,18,28,29
0,1,2,5,10,25,27,28
0,7,9,10,12,13,14,20
3,5,6,18,21,23,25,26
4,7,9,14,22,25,26,28
1,3,4,7,10,14,15,20
1,8,16,19,23,25,26,28
0,13,15,16,18,22,27,28
6,7,8,12,18,19,20,26
1,2,9,10,14,19,25,26
6,7,10,12,13,16,23,26
1,4,6,7,12,21,24,29
1,7,8,16,18,19,21,26
2,3,7,8,11,19,22,23
6,8,10,12,15,17,22,28
0,1,3,6,9,15,21,25
0,6,7,10,15,17,19,24
3,9,10,12,17,19,21,22
1,3,5,6,8,10,16,29
0,2,14,19,22,23,28,29
0,1,2,6,8,17,18,26
5,7,10,11,14,17,19,20
1,6,7,10,12,16,21,24
3,11,16,17,18,22,24,29
7,15,16,17,22,23,24,25
1,2,3,10,13,17,21,27
0,1,7,10,11,16,18,20
7,11,12,13,18,22,23,27
0,8,11,13,15,16,20,26
5,7,11,15,17,18,22,26
0,1,2,10,12,13,18,23
7,10,12,13,14,17,20,28
2,3,7,10,18,22,27,29
1,11,13,16,17,19,27,29
1,6,19,21,22,23,24,29
0,7,8,20,21,22,23,24
2,10,14,18,22,23,25,28
1,14,16,18,20,22,24,29
0,1,9,13,15,19,24,25
0,5,6,16,20,22,23,24
1,5,6,8,12,14,21,24
1,2,4,10,13,15,23,25
14,16,20,25,26,27,28,29
5,10,11,12,22,23,27,28
2,4,5,6,16,26,27,28
3,10,17,19,20,21,26,27
2,8,17,19,20,21,24,29
4,11,16,17,19,20,24,25
4,5,6,10,17,24,25,28
3,4,10,15,23,24,25,27
3,5,6,9,13,14,19,28
0,2,7,11,14,16,20,23
2,9,12,14,22,25,27,28
1,4,10,12,17,24,26,27
0,3,4,9,11,12,15,29
0,3,8,11,14,15,16,26
4,6,10,14,15,18,19,29
2,4,10,13,19,20,26,29
1,11,12,13,19,20,21,29
0,9,11,13,21,23,28,29
5,7,12,15,17,20,26,29
1,3,11,15,17,23,24,28
3,4,5,10,11,15,19,28
1,4,7,9,14,23,24,25
0,1,7,9,12,19,24,25
5,6,7,8,10,13,22,28
0,1,2,6,7,10,14,29
2,7,10,11,20,21,28,29
0,1,3,12,14,18,19,29
1,4,13,14,19,22,23,26
5,9,10,15,17,18,24,28
2,3,4,6,7,13,19,24
3,8,10,14,19,20,21,24
3,8,10,11,14,17,19,24
3,4,5,11,13,15,27,28
0,2,5,10,12,14,26,27
3,7,8,12,17,21,26,27
2,3,4,8,10,12,21,22
3,4,7,10,12,13,15,19
0,6,11,15,16,18,23,26
2,5,6,10,16,17,27,28
2,11,16,18,20,24,27,29
6,8,9,14,18,24,25,28
1,9,12,13,15,16,22,23
6,7,13,16,17,23,25,27
3,4,5,17,22,23,27,28
0,1,2,6,9,12,15,17
6,7,10,11,14,17,19,24
1,9,15,19,21,23,25,28
2,4,10,17,19,21,22,25
0,2,4,16,17,21,27,29
3,4,5,8,10,12,26,27
4,6,11,12,13,20,22,25
11,16,19,21,22,24,27,29
2,5,13,17,18,25,26,28
10,12,13,16,17,21,26,27
7,17,21,22,23,25,28,29
1,6,13,14,18,27,28,29
3,5,6,8,15,16,18,22
8,12,16,18,20,22,27,29
