5,11,26,35,38
13,18,19,25,39
6,11,19,22,31
2,6,18,24,33
4,7,22,30,33
0,11,25,26,29
4,17,23,26,29
11,18,19,22,27
0,2,24,36,37
4,21,26,29,34
1,16,18,19,29
8,15,33,36,37
0,3,7,16,26
0,11,18,20,35
13,17,22,33,37
10,11,18,19,36
14,16,22,27,31
12,13,29,32,33
11,20,25,27,38
12,18,25,28,35
3,9,23,27,31
6,16,24,36,37
5,7,20,21,35
1,5,9,25,29
11,18,20,27,35
15,19,20,24,32
9,13,17,23,26
6,17,22,26,32
1,2,23,25,32
3,13,29,34,38
0,9,28,34,35
6,16,25,33,39
21,29,34,38,39
13,17,18,19,24
1,14,17,23,24
3,4,14,15,34
13,26,28,36,39
17,22,25,26,33
11,22,31,34,39
4,19,21,32,38
8,17,27,28,36
10,14,15,35,36
6,7,17,28,29
3,21,26,29,35
10,16,26,28,30
29,30,32,33,35
5,14,17,25,26
9,11,15,32,37
0,9,15,20,25
14,15,20,31,37
10,15,27,28,37
4,6,7,12,38
6,11,25,38,39
1,3,18,25,27
0,15,16,21,32
0,8,14,18,36
1,20,24,25,39
1,16,31,36,38
19,21,25,29,39
4,11,25,27,33
4,5,32,35,39
17,24,33,35,36
2,13,17,25,29
11,18,23,27,38
1,2,20,27,29
0,1,9,30,35
15,16,19,20,22
6,12,25,26,31
15,23,25,29,39
4,6,15,25,26
11,16,24,33,38
7,8,14,16,32
1,7,11,15,35
3,13,20,25,37
5,11,20,30,33
0,10,14,21,33
9,11,36,37,38
4,5,23,25,32
13,29,32,34,39
1,15,17,26,29
13,16,18,25,28
3,6,9,11,37
7,19,26,28,37
5,18,20,22,34
5,12,14,17,33
4,5,11,21,39
3,12,13,17,18
3,18,19,26,37
13,14,16,20,36
0,3,16,25,30
4,14,27,30,32
2,9,13,32,37
0,5,28,35,38
2,7,12,17,36
3,19,30,35,39
0,12,29,35,38
9,11,19,34,38
5,6,7,14,28
4,5,23,28,32
6,11,14,34,37
