8,9,24
0,33,36
4,28,43
9,19,29
23,26,28
1,17,29
19,31,35
16,18,42
32,36,47
14,38,41
0,17,49
0,30,41
4,26,46
15,39,49
12,24,41
0,1,14
5,23,24
1,2,28
2,24,40
18,30,49
10,18,25
25,27,33
15,20,47
29,38,49
15,18,46
10,15,42
5,13,14
14,29,32
15,33,41
12,31,40
12,18,38
2,6,15
12,15,28
25,39,41
19,23,49
3,9,39
10,20,48
6,9,48
21,26,41
8,45,49
4,15,44
26,32,49
22,37,38
3,38,43
6,24,40
10,23,26
2,35,43
24,25,31
17,45,48
3,35,38
0,36,42
9,10,42
5,37,42
23,28,37
4,22,23
15,19,41
13,38,46
12,43,45
12,14,29
4,12,31
9,27,37
8,39,48
16,19,20
32,41,49
21,23,48
4,24,32
3,39,42
8,20,34
3,8,47
13,25,30
4,14,22
3,15,23
11,32,45
15,30,40
0,10,28
1,5,25
19,42,49
10,26,31
19,25,42
19,24,30
27,35,42
13,18,35
19,32,41
13,37,38
39,41,43
21,31,49
15,25,47
11,22,28
2,15,48
29,41,47
1,3,29
6,10,39
10,12,46
8,25,41
7,26,36
1,3,10
6,15,27
4,18,35
6,31,41
1,11,45
