4,6,18,19,29
14,17,25,27,33
6,16,22,27,30
11,14,16,24,31
6,16,18,22,38
1,4,7,20,34
3,13,24,27,35
5,9,11,23,26
5,6,23,25,37
13,26,28,34,37
4,12,19,27,30
0,8,11,14,28
7,8,23,25,38
8,18,20,30,31
1,4,17,28,39
1,4,7,23,27
7,9,12,32,38
7,10,21,24,32
4,7,8,11,36
2,12,14,22,25
4,12,16,20,38
8,18,30,35,36
10,15,17,28,35
10,12,21,26,29
2,11,12,15,39
10,13,25,32,35
4,20,27,28,30
10,14,26,29,31
4,8,13,14,34
0,11,29,31,36
0,2,20,24,38
12,14,15,35,36
7,13,21,33,34
5,7,11,14,22
7,10,30,32,36
0,2,7,21,35
14,23,24,30,35
5,6,25,26,29
4,15,24,25,34
8,10,28,32,36
4,14,22,29,31
13,18,29,30,34
8,9,23,24,36
11,24,30,31,34
19,24,27,32,35
2,5,29,31,38
1,3,5,9,24
0,2,17,31,33
2,13,15,19,27
9,11,12,21,31
6,16,22,33,34
4,13,15,20,25
6,8,14,19,22
0,1,10,13,19
0,14,19,23,27
11,17,19,20,35
21,24,26,28,31
17,20,27,33,37
6,17,21,24,36
1,17,21,27,28
11,14,15,16,26
8,12,16,23,30
1,2,5,10,25
22,23,25,28,38
0,10,16,35,38
2,11,21,30,38
0,1,7,19,31
4,6,12,20,37
1,6,13,17,22
7,18,24,26,36
7,16,34,35,38
7,15,18,19,30
19,27,28,33,34
2,6,11,16,27
2,6,13,15,27
6,9,28,29,35
5,11,14,31,32
4,10,19,23,30
12,13,17,26,31
5,10,26,27,35
6,11,27,34,36
0,1,5,8,20
1,4,21,22,33
14,19,22,28,34
0,1,2,15,30
12,16,26,33,34
17,21,31,35,38
10,11,13,16,37
3,6,25,33,39
7,10,19,21,38
3,19,26,30,38
2,10,24,33,37
8,20,25,31,37
1,14,17,20,33
1,8,10,16,29
3,7,18,32,38
9,11,21,37,39
4,9,20,31,38
7,8,16,18,37
13,16,20,24,38
