11,13,16,23,24,28,37,46
6,13,20,23,28,35,37,48
5,6,13,30,37,47,48,49
11,13,29,37,39,43,45,48
4,7,14,15,25,31,32,37
15,19,22,23,29,34,45,49
15,21,23,24,31,33,37,39
9,15,16,24,32,33,35,47
3,18,24,32,38,39,41,48
7,8,13,21,35,41,45,49
9,11,24,27,29,30,41,42
0,4,7,10,20,31,40,42
9,13,15,21,22,26,36,46
2,10,16,20,24,31,34,39
23,24,29,32,33,36,43,44
6,15,21,31,41,46,47,49
0,3,12,14,16,17,40,45
4,20,25,27,34,39,45,48
0,7,9,16,19,26,29,41
3,8,9,10,22,32,40,45
6,11,29,31,32,35,38,39
1,2,4,8,9,10,11,32
1,7,20,21,22,25,37,49
0,9,10,16,32,36,37,39
11,13,15,31,32,34,46,47
8,29,30,31,32,42,44,47
0,1,8,22,30,34,41,49
0,1,7,22,24,26,37,40
11,15,21,22,37,38,43,47
0,1,15,31,40,41,44,45
1,20,24,26,27,39,45,49
8,9,24,25,28,29,31,32
5,11,16,18,31,32,44,46
5,6,9,13,20,23,24,33
8,11,19,20,26,30,33,37
4,7,10,28,34,38,40,46
2,4,6,24,25,28,31,41
7,11,21,24,30,38,39,43
21,28,29,32,34,41,42,43
10,12,15,21,25,35,40,45
