5,12,26
5,21,45
17,18,37
6,30,34
8,36,43
14,20,26
6,26,29
18,34,44
29,44,49
14,24,35
0,35,47
4,6,8
5,10,11
19,36,38
2,19,28
15,17,19
3,13,36
12,29,44
1,2,17
13,28,41
4,11,23
9,20,46
1,20,38
17,45,47
24,26,37
34,36,47
0,37,39
15,18,25
13,28,38
12,13,19
3,10,15
12,31,43
14,16,27
3,32,34
3,15,46
8,14,46
18,36,45
9,25,37
2,9,35
4,11,35
11,22,41
0,3,32
7,14,25
3,10,19
5,18,32
1,10,31
18,39,44
33,37,49
0,6,49
14,21,33
17,22,41
11,20,33
12,22,39
18,21,32
6,18,40
22,29,49
7,14,27
31,33,35
25,35,45
1,10,32
6,11,27
16,25,42
9,11,39
14,25,44
7,17,37
27,30,45
2,9,25
30,32,45
6,7,15
10,27,38
30,43,45
13,15,20
20,37,40
2,21,29
0,2,49
6,43,45
11,39,46
0,31,39
19,29,38
1,7,33
4,13,47
20,46,48
4,36,47
1,28,39
32,33,42
15,25,42
12,26,28
8,35,40
9,26,46
5,21,38
4,20,32
10,17,38
5,16,27
13,27,48
3,43,44
11,24,41
15,18,21
6,11,17
1,16,30
0,8,40
