4,28
6,37
18,22
10,35
7,36
19,48
32,44
43,47
1,32
41,42
30,48
22,38
42,47
7,40
12,24
21,49
20,47
16,46
24,33
22,29
23,38
17,21
39,49
34,47
11,32
14,17
28,40
0,26
20,21
9,47
24,29
24,35
16,36
25,44
23,40
0,27
2,36
34,42
12,37
20,25
35,48
11,43
19,44
2,3
5,42
39,42
30,49
3,34
9,32
9,14
14,46
34,35
5,21
22,24
0,29
39,44
31,35
8,14
8,16
43,49
21,42
38,48
23,31
25,27
26,49
13,39
8,20
9,42
42,44
29,39
5,13
6,32
2,39
15,35
13,35
28,47
23,48
2,43
14,41
3,49
29,43
13,28
2,7
6,31
2,26
2,47
1,16
27,48
15,41
5,17
34,39
1,11
7,39
12,42
31,43
3,5
7,28
22,31
37,38
5,28
12,16
7,35
20,41
7,34
33,46
39,40
28,35
16,38
16,28
14,39
23,33
24,40
23,42
9,43
4,48
17,19
25,35
6,19
8,41
14,22
31,45
12,45
0,8
7,16
21,48
7,32
44,45
2,17
14,43
8,26
19,26
32,35
4,6
4,16
35,41
3,7
16,27
5,37
15,42
7,30
21,45
0,34
15,40
0,13
5,27
27,43
9,33
35,45
20,46
37,43
0,32
0,30
17,44
10,41
13,27
21,47
6,22
4,15
3,31
2,46
26,40
6,15
6,35
18,36
38,42
10,49
29,41
1,30
2,45
28,31
2,32
20,36
3,10
38,49
1,3
27,31
1,7
37,44
11,42
41,49
31,48
36,40
6,8
4,38
33,39
7,46
27,46
6,48
30,44
32,47
38,45
21,33
24,34
4,34
16,25
17,28
37,45
9,18
3,43
5,41
22,42
0,28
21,35
9,37
21,34
2,28
8,43
16,47
7,33
18,27
23,49
2,19
6,34
25,42
12,46
10,21
26,30
15,28
11,25
26,46
7,25
14,37
43,46
2,44
15,20
26,34
24,32
32,33
11,36
30,32
46,48
5,49
30,47
3,22
11,31
1,4
6,26
17,18
16,20
29,36
7,49
11,34
19,45
4,44
8,45
20,48
1,29
9,48
0,5
6,21
14,35
17,38
7,23
3,29
1,35
2,48
11,40
5,20
4,12
10,33
3,21
10,34
17,40
2,24
3,27
4,31
24,36
9,45
45,49
25,49
11,45
2,41
13,14
2,23
14,42
21,39
11,20
8,18
5,40
8,48
28,29
2,5
6,24
9,23
14,28
26,29
0,47
20,34
24,31
10,39
3,28
30,41
20,22
5,31
18,40
9,40
25,46
10,46
0,37
8,23
6,30
14,24
39,47
12,17
26,32
12,38
19,35
16,40
24,46
15,24
23,41
18,45
1,23
23,28
13,29
34,46
0,6
11,14
10,17
2,21
10,36
16,24
5,25
12,27
0,31
22,43
47,48
38,41
8,17
27,30
26,37
41,47
23,35
2,9
29,32
40,42
16,29
6,49
24,30
18,37
15,49
3,24
22,33
21,30
4,30
5,11
34,38
7,14
1,5
18,25
23,34
31,41
2,11
3,40
1,45
18,41
25,34
46,49
22,44
0,40
10,14
1,38
2,15
21,31
31,49
9,22
15,43
21,41
41,44
6,18
22,36
1,44
15,21
28,32
2,34
7,27
1,17
11,21
46,47
0,7
7,44
3,37
19,47
6,47
30,42
13,22
1,8
22,25
24,37
23,36
18,31
12,25
19,37
27,45
19,34
32,41
21,36
21,29
14,25
13,21
1,19
1,13
3,26
29,34
5,6
14,45
15,45
2,4
23,43
16,45
27,39
31,42
13,17
9,31
13,23
8,31
0,9
30,40
10,27
2,30
5,26
4,20
14,29
5,34
29,33
13,43
17,48
0,19
30,46
3,38
38,46
37,47
28,45
24,28
12,47
10,28
0,1
12,30
7,37
36,43
12,35
11,48
28,36
6,27
17,29
35,37
13,40
8,40
8,33
9,20
27,49
14,40
11,41
35,43
13,37
25,45
11,27
20,32
23,24
35,42
10,29
4,33
6,14
4,37
35,38
24,43
28,41
29,38
2,6
26,38
0,48
40,45
7,20
3,16
40,44
3,45
8,11
12,18
28,34
29,37
30,38
23,37
32,36
0,11
9,26
4,29
40,49
13,49
10,47
3,9
30,33
3,8
1,6
36,48
22,32
4,40
0,36
7,17
8,39
3,17
