8,12,15
18,31,43
6,25,38
11,26,30
10,23,33
0,23,49
9,18,44
9,18,25
0,26,39
0,44,46
4,10,34
2,4,31
12,15,44
0,15,35
22,24,36
27,38,45
43,46,48
18,35,44
20,21,49
31,43,46
2,44,49
8,11,37
22,35,44
1,18,47
4,11,23
14,22,33
23,30,36
2,24,35
24,35,38
17,31,33
6,17,23
26,35,46
9,13,16
26,29,41
0,35,43
10,18,21
1,4,13
13,25,44
9,13,38
5,10,21
5,14,20
0,15,38
2,22,49
1,34,45
24,25,28
27,28,33
3,42,45
2,19,47
8,28,37
16,38,49
3,31,37
16,18,36
0,12,27
31,35,38
23,27,47
17,25,27
0,8,29
11,17,30
40,46,49
9,30,43
1,21,31
17,22,26
3,9,22
11,37,40
9,16,41
17,21,28
13,14,48
7,16,25
29,40,44
8,10,16
2,7,42
30,36,38
39,45,49
3,45,46
27,40,44
3,31,33
10,34,35
5,20,44
14,36,45
4,14,23
14,35,43
5,9,33
0,37,49
7,30,43
11,20,48
7,10,13
7,38,49
2,18,49
1,23,28
1,15,39
3,20,24
22,38,45
13,18,27
17,35,45
5,7,31
6,13,37
22,36,47
3,26,46
12,31,32
35,46,48
