14,36
0,11
18,32
20,41
3,16
18,35
37,42
3,31
23,36
11,26
19,29
18,28
9,20
29,37
21,28
9,30
17,43
5,13
32,46
9,12
44,46
19,31
1,21
22,30
12,15
0,35
23,28
11,14
35,38
30,36
19,24
21,33
31,43
11,19
39,40
21,47
1,26
25,44
15,43
8,37
9,27
5,11
24,30
0,31
10,48
12,35
37,46
19,41
15,23
27,47
5,23
22,33
13,20
30,34
17,44
31,37
9,40
5,25
1,24
0,28
25,28
5,34
11,45
16,23
16,26
18,41
20,26
10,25
6,49
19,46
2,35
23,29
13,18
32,49
33,39
13,43
6,41
40,46
14,22
25,41
3,43
5,20
0,17
36,37
5,19
42,44
23,34
25,43
20,37
13,32
1,13
12,14
2,30
4,23
39,42
14,31
11,12
0,6
11,24
13,35
