8,24,35
1,4,22
25,36,45
0,29,46
25,40,49
25,40,42
16,17,27
8,26,30
1,7,29
22,37,46
0,15,19
6,15,26
22,32,34
4,29,44
7,16,23
12,38,43
22,24,30
9,34,44
6,9,43
8,13,45
3,8,45
1,13,46
5,37,49
9,25,27
23,39,40
3,41,47
6,29,36
13,24,29
12,19,40
0,27,47
24,28,36
23,27,42
12,17,23
5,9,40
12,34,49
3,40,46
7,32,49
11,23,26
7,25,42
34,44,48
2,12,41
22,42,48
16,30,33
7,38,39
20,33,41
11,29,31
18,43,45
5,22,38
3,17,49
16,19,20
2,32,47
3,29,43
5,22,29
1,19,20
24,27,42
13,30,35
11,18,22
0,30,44
0,36,42
32,35,41
0,11,40
14,22,40
0,17,35
20,25,33
0,1,26
8,24,29
0,5,32
1,5,37
9,11,24
21,25,42
4,39,42
2,3,36
7,24,25
4,25,48
11,13,49
26,30,40
22,27,42
11,18,43
11,24,30
8,19,30
6,10,20
4,6,15
9,15,45
30,36,40
10,21,37
10,12,14
13,14,49
8,11,15
8,35,41
4,28,42
19,33,36
3,26,27
8,23,40
21,34,44
8,14,40
11,31,49
16,32,35
4,12,19
22,35,47
38,41,47
