0,2,8,9,12,14,15,16,19,26
0,1,5,6,9,16,19,25,27,28
0,2,12,19,21,25,26,27,28,29
0,7,9,10,11,17,18,19,21,28
2,6,10,13,16,17,25,26,28,29
1,2,5,8,10,11,19,22,24,26
3,4,7,10,11,18,19,22,28,29
0,2,8,10,12,16,20,22,24,27
2,3,8,11,14,15,17,21,24,29
3,4,7,9,10,12,21,25,26,29
2,6,9,12,15,16,20,21,23,28
0,3,5,6,7,8,16,18,24,27
1,4,5,13,14,16,18,20,21,24
4,5,11,12,15,16,17,21,25,28
1,2,3,5,10,12,19,20,23,28
0,3,4,8,14,16,20,25,28,29
2,3,4,5,8,12,13,14,23,28
11,13,14,18,19,23,24,25,26,29
0,2,6,8,14,16,17,19,22,24
0,3,5,17,20,23,24,25,28,29
4,7,9,10,12,16,19,23,27,29
1,2,6,7,9,13,16,20,25,26
5,11,12,13,14,17,18,25,26,29
1,4,5,12,14,15,19,22,26,27
3,4,10,12,13,16,20,21,27,29
0,2,3,5,7,9,13,15,23,27
2,6,8,10,11,17,18,22,23,24
3,4,8,9,10,12,13,15,18,25
0,1,4,5,10,15,16,20,23,29
1,2,11,17,18,19,20,21,25,27
