1,6,9,12,14,16,25,26,27,29
2,10,18,20,21,23,24,25,27,28
1,4,9,14,15,21,22,24,25,28
1,4,13,16,17,20,22,23,26,27
4,5,9,10,12,20,22,23,25,26
6,8,10,14,18,19,21,23,27,28
2,4,8,11,17,18,21,22,26,27
4,8,11,15,16,23,24,25,27,28
1,3,5,8,10,11,22,26,27,28
0,4,5,9,13,16,19,25,28,29
2,3,5,12,15,17,19,20,26,29
1,7,10,12,15,23,24,26,27,28
1,4,9,15,16,18,20,21,26,28
2,3,5,6,7,10,14,18,20,29
1,4,9,10,15,20,21,22,24,25
2,5,8,9,15,16,19,26,27,29
0,2,7,12,18,19,20,21,22,24
0,3,4,11,12,13,14,24,27,29
3,4,8,10,13,15,17,19,26,28
0,3,5,11,14,15,16,19,27,28
1,4,6,7,8,12,14,18,20,23
2,4,5,8,14,17,18,22,28,29
0,2,5,10,14,15,16,24,27,29
2,3,4,5,8,9,17,18,25,26
4,5,6,13,15,16,22,25,28,29
3,5,8,11,13,19,20,21,23,25
0,4,6,7,11,12,14,18,21,27
0,4,6,8,15,19,21,23,24,25
0,4,13,14,20,22,25,27,28,29
2,6,7,9,12,16,22,24,27,28
