16,22,33
4,23,28
1,3,43
2,6,28
6,11,18
2,6,44
12,34,49
3,12,27
10,25,45
8,19,20
15,21,35
17,27,30
6,16,42
24,39,40
19,43,45
0,11,18
15,26,49
10,39,46
8,27,30
3,21,22
15,30,32
12,15,37
5,17,32
9,19,35
15,23,27
33,36,49
11,16,30
7,9,40
35,40,44
7,9,19
14,46,48
13,19,28
6,7,35
4,8,15
12,20,30
13,21,47
3,7,46
1,2,24
11,28,33
1,14,28
7,14,40
3,37,48
22,24,45
26,32,44
3,15,17
5,16,24
12,31,35
14,26,32
1,26,28
5,30,46
2,35,46
16,29,31
6,18,46
21,45,48
14,23,49
9,10,16
31,40,43
22,23,42
24,37,49
12,20,46
3,23,33
6,40,44
37,40,49
1,9,30
5,7,47
3,13,29
13,43,47
36,39,44
11,40,49
3,6,28
1,12,15
13,26,43
7,17,30
7,22,32
5,24,45
6,7,10
6,12,48
0,18,48
20,26,30
7,24,31
7,27,29
0,34,46
6,31,49
18,26,36
4,8,35
9,42,48
13,39,47
15,26,44
0,37,39
7,16,32
31,36,44
17,32,44
7,15,19
7,23,31
5,15,20
3,11,25
30,48,49
11,22,44
1,2,10
28,32,38
