2,3,8,11,12,15,23
1,4,10,18,20,21,23
2,5,11,12,19,26,27
0,9,14,17,19,21,25
0,2,3,5,6,21,24
3,6,11,19,25,28,29
2,7,9,10,13,21,27
0,1,8,10,13,17,25
4,6,8,16,19,21,22
1,8,9,13,14,19,28
1,5,10,21,23,24,25
1,2,11,14,16,19,20
0,1,9,14,16,28,29
14,15,18,19,23,25,28
10,13,15,18,21,25,28
2,3,4,8,9,10,16
0,2,4,5,10,17,29
3,4,5,18,22,24,27
6,8,12,14,20,22,28
1,8,10,17,19,20,25
14,16,18,20,21,27,28
2,5,6,9,11,26,28
1,6,16,20,24,25,26
0,2,3,8,12,19,25
4,6,10,21,24,26,28
0,3,4,8,16,19,22
2,5,15,20,21,23,27
6,7,10,20,21,22,29
3,4,7,9,11,17,28
6,12,20,24,25,27,28
5,10,15,17,20,22,29
2,3,7,13,22,24,29
2,3,7,9,16,19,25
2,9,16,20,24,26,27
7,8,9,21,22,27,29
2,8,11,15,17,20,29
0,1,8,12,19,25,28
0,9,18,20,22,26,27
1,5,7,14,15,24,25
6,9,10,11,16,19,25
1,13,19,20,22,25,29
3,4,12,15,16,17,21
0,5,7,19,21,27,29
0,6,12,13,17,22,25
3,5,7,8,16,19,25
0,5,6,18,21,25,27
3,5,13,18,20,21,27
1,5,7,18,19,25,29
3,9,13,20,21,24,28
5,8,14,15,16,26,29
2,18,19,20,21,25,27
0,11,14,16,19,27,29
2,10,19,20,22,23,24
1,2,10,17,22,23,25
1,6,12,13,19,20,22
6,12,15,17,24,26,27
1,8,9,20,23,26,28
1,5,6,10,24,25,26
3,10,12,20,22,26,27
0,1,2,16,22,26,28
4,8,13,17,24,28,29
0,5,6,9,12,19,26
1,3,11,18,19,24,28
0,1,3,18,21,23,27
1,6,9,11,12,17,28
3,4,7,12,22,25,28
5,6,8,9,10,12,27
1,5,6,8,12,21,24
2,8,9,16,18,25,28
2,3,13,14,16,26,29
1,6,10,16,18,20,29
1,9,10,17,18,23,28
0,3,4,8,9,10,16
6,7,13,16,17,22,24
4,7,9,12,18,22,26
2,10,11,15,20,21,23
1,3,6,9,15,18,19
3,6,7,11,12,13,19
5,7,9,22,23,27,28
0,1,13,14,15,19,20
4,11,12,16,26,28,29
2,3,12,15,16,23,29
0,6,8,12,14,17,26
0,2,3,12,14,20,25
0,7,12,15,20,24,26
1,7,11,12,22,24,29
12,16,20,22,24,28,29
0,8,18,20,21,22,25
0,5,6,10,20,28,29
8,11,12,15,18,19,22
1,7,9,12,15,23,25
2,5,8,11,19,24,27
3,9,10,12,14,23,25
3,6,7,8,11,12,25
3,5,8,12,16,23,25
0,5,15,16,22,25,27
3,6,9,20,21,24,25
0,1,4,7,10,11,21
6,14,15,17,19,24,25
5,6,8,14,18,19,28
