8,20,36,37,39
22,25,29,35,38
11,20,28,30,31
0,18,19,21,30
9,12,25,28,30
7,13,25,27,35
6,9,10,15,32
3,6,8,28,33
4,10,13,16,21
0,6,7,14,21
7,16,20,26,33
19,28,29,31,35
11,20,31,32,37
12,21,22,23,32
3,11,15,17,21
6,28,29,30,38
1,11,20,24,30
11,13,20,32,37
0,8,16,26,37
12,18,21,23,28
5,10,14,28,36
3,11,14,33,38
6,10,14,23,29
1,16,27,33,37
5,8,21,37,39
14,15,18,21,34
7,17,22,24,27
5,16,28,30,33
1,7,18,27,39
11,19,31,34,38
3,14,29,31,39
1,5,13,18,33
8,23,26,29,30
0,13,26,33,37
1,12,27,28,29
6,9,18,27,37
0,10,32,38,39
11,13,24,27,32
16,18,33,34,37
7,12,13,30,32
14,26,30,31,36
6,9,10,21,35
6,11,27,33,35
5,10,11,20,33
0,4,21,23,39
4,9,14,34,35
6,10,14,33,35
0,8,15,23,28
18,24,26,30,31
7,24,30,31,36
3,6,12,16,29
12,13,23,35,37
10,16,32,33,34
1,11,12,27,31
5,12,33,35,38
6,10,21,22,38
0,3,6,24,25
4,24,25,27,36
8,9,13,19,29
12,17,27,34,35
8,12,32,36,39
3,8,11,15,36
6,7,18,25,34
4,8,13,15,31
1,2,6,16,38
2,16,17,22,31
1,26,33,36,38
6,10,18,27,35
0,2,12,30,32
3,11,32,34,39
1,12,22,24,34
4,15,17,19,33
5,19,21,22,24
3,6,11,18,35
0,3,4,15,19
0,3,5,8,22
7,18,21,30,35
10,22,25,26,39
2,24,27,32,36
5,8,11,20,39
14,20,21,25,29
5,7,23,24,39
7,16,19,26,32
10,21,24,29,38
7,18,21,26,37
7,23,25,31,39
2,5,8,12,16
4,5,6,24,34
0,10,13,28,37
8,31,34,35,39
2,14,21,30,31
14,23,30,37,39
0,5,8,9,39
16,29,33,37,38
0,2,23,26,32
0,7,31,36,38
8,22,26,29,32
6,7,19,21,33
6,9,18,22,23
0,17,23,28,35
