n,k,method,total_time_init_candidates_set,total_time_update_bounds,total_time_compute_pdf,total_time_determine_next_question,total_time_llm_response,total_time,api_calls
50,2,Exact_Baseline,,,,,,737.5806424405321,1275
50,2,Naive,,,,,,227.85981689202504,387
50,2,Max_Prob,0.00012445449829101562,6.699562072753906e-05,4.734538793563843,0.00010013580322265625,35.668214729597814,40.4030451090839,51
50,4,Exact_Baseline,,,,,,737.5682582642778,1275
50,4,Naive,,,,,,308.3043398781039,522
50,4,Max_Prob,0.00015163421630859375,0.002535104751586914,90.69744825363159,0.005047321319580078,65.76211390570947,156.46729621962854,106
50,6,Exact_Baseline,,,,,,737.5703956868394,1275
50,6,Naive,,,,,,249.2808339874178,418
50,6,Max_Prob,0.00016951560974121094,0.007130146026611328,141.39288187026978,0.02336597442626953,112.81455510070154,254.23810260703394,185
50,8,Exact_Baseline,,,,,,737.5724591996416,1275
50,8,Naive,,,,,,131.50450180276005,219
50,8,Max_Prob,0.00018858909606933594,0.01558542251586914,184.988183259964,0.031017541885375977,94.11005886611376,279.1450336795751,155
50,10,Exact_Baseline,,,,,,737.5749928738817,1275
50,10,Naive,,,,,,93.1512447221117,151
50,10,Max_Prob,0.00019311904907226562,0.03302478790283203,161.01708054542542,0.04232525825500488,86.54122332035281,247.63384703098512,139
