d2,d1,value,time_div
0,1,0.4,0.5814652442932129
0,2,0.4,0.5450643163389971
1,2,0.4,0.6064566253062373
0,3,0.5,0.48511738577575425
1,3,0.0,0.5215850611179944
2,3,0.0,0.6090310327575712
0,4,0.2,0.4737152190775441
1,4,0.0,0.5824009587765934
2,4,0.6,0.5989161935164392
3,4,0.4,0.38012000248900646
0,5,0.1,0.7007819448122379
1,5,0.9,0.4967647327358604
2,5,0.2,0.6166963665707617
3,5,0.8,0.5913434924416668
4,5,0.4,0.5562483939823707
0,6,0.7,0.6400637723391126
1,6,0.4,0.6315931200941169
2,6,0.9,0.5310047816098268
3,6,0.0,0.6268665181461248
4,6,0.2,0.5249715265584667
5,6,0.0,0.5409702592592482
0,7,0.8,0.6971879074140468
1,7,0.1,0.652439210242486
2,7,1.0,0.8262063343538772
3,7,0.4,0.41134010647957187
4,7,1.0,0.5120961291558356
5,7,0.8,0.6604139730773172
6,7,0.5,0.5784653005476019
0,8,0.5,0.4711097028592489
1,8,0.0,0.620576138467074
2,8,0.5,0.5306863531639452
3,8,0.4,0.5702161826393679
4,8,0.4,0.8407215419986194
5,8,0.4,0.5262666862341999
6,8,0.5,0.5371604505678597
7,8,0.4,0.5461783923634883
0,9,0.2,0.6403656700077127
1,9,0.1,0.6855072675924451
2,9,0.2,0.44243108274101556
3,9,0.8,0.45390726969761097
4,9,0.8,0.5117755044267656
5,9,0.2,0.6370833758617853
6,9,0.0,0.43368072505377253
7,9,0.1,0.5645083007029565
8,9,0.5,0.41128619905211894
0,10,0.6,0.6265149196337074
1,10,0.1,0.5278495938008462
2,10,0.4,0.5049664035223737
3,10,0.9,0.6286142447279359
4,10,1.0,0.5447929166418982
5,10,0.7,0.474771780379535
6,10,0.0,0.6848751636541517
7,10,0.8,0.6547691931844526
8,10,0.9,0.6827975151228636
9,10,0.9,0.5979890811135844
0,11,0.9,0.6189360896846395
1,11,0.1,0.5734311008734732
2,11,0.2,0.5480343998255954
3,11,0.8,0.46297370018524386
4,11,1.0,0.38279494743566783
5,11,0.4,0.6169796863330869
6,11,1.0,0.4563016028252388
7,11,0.7,0.7331691474636306
8,11,0.8,0.6023580456622737
9,11,0.0,0.5510861591812461
10,11,0.6,0.48975975848323544
0,12,0.4,0.4047973079749694
1,12,0.5,0.48234110355700655
2,12,0.1,0.5889011770095247
3,12,0.5,0.5763996211313919
4,12,0.7,0.5416072194668464
5,12,0.4,0.4026360477051812
6,12,1.0,0.5034370951270836
7,12,0.9,0.6242775541794994
8,12,0.7,0.7375911999281332
9,12,0.3,0.5176984934926322
10,12,0.1,0.5248962566399694
11,12,0.2,0.55181044087164
0,13,0.1,0.553462798077664
1,13,0.6,0.7611504635482397
2,13,1.0,0.6589929268789079
3,13,0.3,0.514981507498092
4,13,0.9,0.5768502527690403
5,13,0.8,0.4311964336863584
6,13,1.0,0.5547586540001714
7,13,0.0,0.4125097418402788
8,13,0.7,0.7056175666153104
9,13,0.5,0.6585246062571593
10,13,0.2,0.5438463339807289
11,13,0.4,0.5086882421462254
12,13,0.0,0.5541477539391062
