d2,d1,value,time_div
0,1,0.5,0.4989280700683594
0,2,0.5,0.5136241912841797
1,2,0.8,0.6103808879852295
0,3,0.6,0.7191967964172363
1,3,0.5,0.5125949382781982
2,3,0.5,0.6128897666931152
0,4,0.4,1.6396872997283936
1,4,0.7,0.9245889186859131
2,4,0.5,0.5112457275390625
3,4,0.8,0.5125341415405273
0,5,0.7,0.6108889579772949
1,5,0.5,0.6129000186920166
2,5,0.6,0.6149160861968994
3,5,0.6,0.7184538841247559
4,5,0.6,0.5127291679382324
0,6,0.5,0.5110640525817871
1,6,0.8,0.5117900371551514
2,6,0.4,0.5135717391967773
3,6,0.7,0.5109302997589111
4,6,0.6,0.7184047698974609
5,6,0.5,0.5121731758117676
0,7,0.7,0.5096619129180908
1,7,0.6,0.5125479698181152
2,7,0.3,0.4871029853820801
3,7,0.7,0.6391887664794922
4,7,0.7,0.6146368980407715
5,7,0.7,0.5222821235656738
6,7,0.7,0.7080178260803223
0,8,0.7,0.5120260715484619
1,8,0.7,0.5104639530181885
2,8,0.5,0.5120649337768555
3,8,0.8,0.622067928314209
4,8,0.3,1.530182123184204
5,8,0.6,0.4678831100463867
6,8,0.5,0.557002067565918
7,8,0.6,0.5093920230865479
0,9,0.5,0.582766056060791
1,9,0.5,0.543712854385376
2,9,0.4,0.471250057220459
3,9,0.6,0.552685022354126
4,9,0.4,0.5130288600921631
5,9,0.3,0.7171709537506104
6,9,0.7,0.5128538608551025
7,9,0.7,0.512030839920044
8,9,0.5,0.7187693119049072
0,10,0.6,0.6139261722564697
1,10,0.7,0.6140880584716797
2,10,0.5,0.5134751796722412
3,10,0.6,0.6171238422393799
4,10,0.7,0.5103578567504883
5,10,0.5,0.5133457183837891
6,10,0.7,0.44808435440063477
7,10,0.7,0.5754146575927734
8,10,0.5,0.5138249397277832
9,10,0.6,0.5110681056976318
0,11,0.8,1.3310730457305908
1,11,0.7,0.5172169208526611
2,11,0.3,0.5095260143280029
3,11,0.7,0.6130800247192383
4,11,0.4,0.5129170417785645
5,11,0.7,0.6137480735778809
6,11,0.7,0.5319111347198486
7,11,0.8,0.8042609691619873
8,11,0.7,0.7149322032928467
9,11,0.7,0.7186539173126221
10,11,0.6,139.97712898254395
0,12,0.7,1.5130469799041748
1,12,0.4,1.1244831085205078
2,12,0.5,0.7183318138122559
3,12,0.5,0.7156710624694824
4,12,0.3,1.0238258838653564
5,12,0.8,1.025881052017212
6,12,0.7,0.9208688735961914
7,12,0.6,1.0237998962402344
8,12,0.7,0.9230048656463623
9,12,0.7,0.9126641750335693
10,12,0.5,0.9308600425720215
11,12,0.3,1.5342121124267578
0,13,0.8,0.6139950752258301
1,13,0.8,0.7160401344299316
2,13,0.5,1.331923007965088
3,13,0.3,0.718940019607544
4,13,0.8,0.5702090263366699
5,13,0.6,0.5546178817749023
6,13,0.7,0.7179651260375977
7,13,0.8,0.7163281440734863
8,13,0.8,0.7168099880218506
9,13,0.7,0.7158892154693604
10,13,0.5,0.6147520542144775
11,13,0.8,0.8186819553375244
12,13,0.5,0.6142470836639404
0,14,0.6,0.44312214851379395
1,14,0.3,0.5660431385040283
2,14,0.5,0.6240551471710205
3,14,0.5,0.6200618743896484
4,14,0.3,0.6137869358062744
5,14,0.5,0.5125210285186768
6,14,0.7,0.5141468048095703
7,14,0.5,0.5124738216400146
8,14,0.5,0.6120429039001465
9,14,0.5,0.5115928649902344
10,14,0.8,0.5120220184326172
11,14,0.6,0.5124309062957764
12,14,0.7,0.5241189002990723
13,14,0.7,0.6014847755432129
0,15,0.7,0.6162271499633789
1,15,0.5,0.6126880645751953
2,15,0.3,0.5134067535400391
3,15,0.4,0.5122811794281006
4,15,0.7,0.7164170742034912
5,15,0.7,0.6113407611846924
6,15,0.7,0.6161689758300781
7,15,0.3,0.5122332572937012
8,15,0.7,0.5115029811859131
9,15,0.3,0.5117568969726562
10,15,0.6,0.6149029731750488
11,15,0.8,0.5180788040161133
12,15,0.7,0.5065300464630127
13,15,0.7,0.5343420505523682
14,15,0.5,0.5929579734802246
0,16,0.5,0.9236788749694824
1,16,0.7,0.9191570281982422
2,16,0.7,0.921036958694458
3,16,0.7,0.8994789123535156
4,16,0.5,0.7383418083190918
5,16,0.5,1.739732027053833
6,16,0.5,0.6160092353820801
7,16,0.5,0.9216556549072266
8,16,0.5,0.9245591163635254
9,16,0.4,1.0209341049194336
10,16,0.6,1.1263868808746338
11,16,0.4,0.9219179153442383
12,16,0.7,0.9204709529876709
13,16,0.7,0.6147520542144775
14,16,0.1,0.6663999557495117
15,16,0.7,0.9759819507598877
0,17,0.5,0.609713077545166
1,17,0.5,0.5118422508239746
2,17,0.5,0.511138916015625
3,17,0.6,0.6153271198272705
4,17,0.7,0.7218806743621826
5,17,0.5,0.7150089740753174
6,17,0.8,0.7363009452819824
7,17,0.8,0.6276559829711914
8,17,0.6,0.5798861980438232
9,17,0.7,0.6137731075286865
10,17,0.5,0.8194761276245117
11,17,0.5,0.5121619701385498
12,17,0.8,0.5112080574035645
13,17,0.7,0.5323259830474854
14,17,0.5,0.70302414894104
15,17,0.7,0.8141169548034668
16,17,0.5,0.6138367652893066
0,18,0.5,0.5118649005889893
1,18,0.6,0.7149538993835449
2,18,0.7,1.437636137008667
3,18,0.3,0.6116740703582764
4,18,0.7,0.6137228012084961
5,18,0.6,0.8200180530548096
6,18,0.7,0.6141347885131836
7,18,0.8,0.6148209571838379
8,18,0.7,0.6140041351318359
9,18,0.6,0.6196019649505615
