d2,d1,value,time_div
0,1,0.8,0.7134041786193848
0,2,0.5,0.5869079479805314
1,2,0.5,0.5153059525925278
0,3,0.8,0.5736090528660176
1,3,0.7,0.5674271583557129
2,3,0.30000000000000004,0.6926308309315945
0,4,0.0,0.66155508446265
1,4,0.1,0.7942258593189042
2,4,0.7,0.4784209728240967
3,4,0.4,0.7045702991602112
0,5,0.30000000000000004,0.5648119283599848
1,5,0.2,0.6069226692712367
2,5,0.5,0.5511338710784912
3,5,0.2,0.4879945443016619
4,5,0.8,0.5579831318425068
0,6,0.4,0.56586922985388
1,6,0.8,0.5714919567108154
2,6,0.8,0.4063930423393225
3,6,0.30000000000000004,0.4927877556747671
4,6,0.30000000000000004,0.3355821460538755
5,6,0.5,0.5501248836517334
0,7,0.8,0.5603768717498678
1,7,1.0,0.5061603300856237
2,7,1.0,0.5925137054117071
3,7,0.5,0.5516948699951172
4,7,0.4,0.6150621525640694
5,7,0.7000000000000001,0.7337303501262616
6,7,0.8,0.588860007887814
0,8,0.7,0.6155741214752197
1,8,0.7000000000000001,0.4221103932683131
2,8,0.7000000000000001,0.5696877770618395
3,8,0.7000000000000001,0.5889149536340427
4,8,0.7,0.6142830848693848
5,8,0.1,0.5507380037430674
6,8,0.6000000000000001,0.37734113972633715
7,8,0.9,0.6491199310941193
0,9,0.6,0.5127601623535156
1,9,0.9,0.6181925341018252
2,9,0.8,0.5395110782625485
3,9,0.6000000000000001,0.6794216257682704
4,9,0.5,0.6550848484039307
5,9,0.4,0.4719388643624712
6,9,0.30000000000000004,0.5192556121996532
7,9,0.0,0.45187923958529896
8,9,0.7,0.6759748458862305
0,10,0.7000000000000001,0.5273680093275304
1,10,0.0,0.5679840388464542
2,10,0.7000000000000001,0.8044964959355325
3,10,0.6,0.7430799007415771
4,10,0.6000000000000001,0.6696267651085218
5,10,0.2,0.5477716084989988
6,10,0.4,0.4631819974574747
7,10,0.7,0.4984707832336426
8,10,0.0,0.7127509962414729
9,10,0.5,0.5711788875918794
0,11,0.7000000000000001,0.5319585604779354
1,11,0.7,1.4833741188049316
2,11,0.30000000000000004,0.5433342314231546
3,11,0.2,0.6051790617500586
4,11,0.9,0.5189414495659873
5,11,0.5,0.5119907855987549
6,11,0.30000000000000004,0.5403375386767525
7,11,0.6000000000000001,0.5182421576089018
8,11,0.1,0.5653826733124568
9,11,0.5,0.48415088653564453
10,11,0.4,0.6346387060579072
0,12,0.8,0.49507494305838495
1,12,0.5,0.47640670044229705
2,12,0.5,0.5272598266601562
3,12,0.6000000000000001,0.5648987450633594
4,12,0.6000000000000001,0.5269003784308929
5,12,0.2,0.46548803692184215
6,12,0.5,0.52410888671875
7,12,0.30000000000000004,0.5149240518624308
8,12,0.8,0.6137874092439117
9,12,0.7000000000000001,0.48072349568346034
10,12,0.8,0.6519930362701416
11,12,0.0,0.5663980417996216
0,13,0.9,0.694847957608844
1,13,0.4,0.5632058829363005
2,13,0.5,0.6438138484954834
3,13,0.1,0.5024108558902217
4,13,0.5,0.4311515549526112
5,13,0.9,0.5909845375345185
6,13,0.5,0.5829160213470459
7,13,1.0,0.5496557155557573
8,13,0.4,0.4726018661769578
9,13,0.7000000000000001,0.5293322440340791
10,13,0.7,1.1693611145019531
11,13,0.0,0.5274414876520027
12,13,0.30000000000000004,0.5733428403964825
0,14,0.1,0.5553189722719605
1,14,0.5,0.5042421817779541
2,14,0.30000000000000004,0.41305135667802284
3,14,0.30000000000000004,0.5208230626138378
4,14,0.9,0.6355785401833011
5,14,0.4,0.6819179058074951
6,14,0.0,0.49575158433275973
7,14,0.5,0.6090780047132295
8,14,0.7000000000000001,0.7014109952210267
9,14,0.2,0.6126708984375
10,14,0.4,0.5657813725704915
11,14,0.9,0.26264219408114386
12,14,0.5,0.7936491842437313
13,14,0.7,0.5110189914703369
0,15,1.0,0.6415924132706123
