n,k,method,total_time_init_candidates_set,total_time_update_bounds,total_time_compute_pdf,total_time_determine_next_question,total_time_llm_response,total_time,api_calls
50,2,Exact_Baseline,,,,,,729.562988041025,1275
50,2,Naive,,,,,,125.33294049767812,219
50,2,Max_Prob,0.0003750324249267578,0.0006725788116455078,418.039470911026,0.0012912750244140625,31.253007710090813,449.2948175073778,56
50,4,Exact_Baseline,,,,,,729.5840492230471,1275
50,4,Naive,,,,,,370.12615338059874,648
50,4,Max_Prob,0.0005350112915039062,0.00956106185913086,1320.892690896988,0.023595809936523438,111.57893925541093,1432.505322035486,198
50,6,Exact_Baseline,,,,,,729.5982472878512,1275
50,6,Naive,,,,,,254.38044007558963,444
50,6,Max_Prob,0.0012552738189697266,0.05783438682556152,12509.235496759415,0.1624126434326172,183.5653091485313,12693.022308212023,323
50,8,Exact_Baseline,,,,,,729.6062765103396,1275
50,8,Naive,,,,,,137.71890557777832,239
50,8,Max_Prob,0.0008485317230224609,0.10129737854003906,6480.494583845139,0.166121244430542,121.839727126633,6602.602578126465,215
50,10,Exact_Baseline,,,,,,729.6268949490603,1275
50,10,Naive,,,,,,138.1971683735762,237
50,10,Max_Prob,0.0008709430694580078,0.16404962539672852,7366.92600107193,0.2638676166534424,116.2396306008126,7483.594419857862,206
