d,value,time_rel
0,0.6,1.30503511428833
1,0.6,0.6066539287567139
2,0.6,0.6166939735412598
3,0.5,0.4601290225982666
4,0.4,0.6648759841918945
5,0.4,0.512362003326416
6,0.4,0.6153669357299805
7,0.4,0.5467920303344727
8,0.7,0.6820158958435059
9,0.3,1.0247337818145752
10,0.3,0.715228796005249
11,0.4,0.6136391162872314
12,0.5,0.6146008968353271
13,0.5,0.9219961166381836
14,0.6,0.6241929531097412
15,0.3,0.6037330627441406
16,0.6,0.8197360038757324
17,0.5,0.5129799842834473
18,0.5,0.6136131286621094
19,0.3,0.5114288330078125
20,0.3,0.6143860816955566
21,0.3,0.7185921669006348
22,0.4,0.6129150390625
23,0.6,0.5109310150146484
24,0.4,0.5160691738128662
25,0.2,0.6121940612792969
26,0.6,0.5102250576019287
27,0.3,0.5140340328216553
28,0.3,0.4957008361816406
29,0.4,0.5309691429138184
30,0.4,0.6104581356048584
31,0.4,0.627392053604126
